bench,experiment,name,parameters,runtime,version
pytorch_cudnnLSTM,1x320-LSTM_cross-entropy,bench_pytorch_cudnnLSTM.py,572800,0.1455657629999223,0.1.12_2
pytorch_cudnnLSTM,1x320-LSTM_cross-entropy,bench_pytorch_cudnnLSTM.py,572800,0.14679949800006398,0.1.12_2
pytorch_cudnnLSTM,1x320-LSTM_cross-entropy,bench_pytorch_cudnnLSTM.py,572800,0.1454552010000043,0.1.12_2
pytorch_cudnnLSTM,1x320-LSTM_cross-entropy,bench_pytorch_cudnnLSTM.py,572800,0.14531794999993508,0.1.12_2
pytorch_cudnnLSTM,1x320-LSTM_cross-entropy,bench_pytorch_cudnnLSTM.py,572800,0.1472636500000135,0.1.12_2
pytorch_cudnnLSTM,1x320-LSTM_cross-entropy,bench_pytorch_cudnnLSTM.py,572800,0.14445893700008128,0.1.12_2
pytorch_cudnnLSTM,1x320-LSTM_cross-entropy,bench_pytorch_cudnnLSTM.py,572800,0.14733333599997422,0.1.12_2
pytorch_cudnnLSTM,1x320-LSTM_cross-entropy,bench_pytorch_cudnnLSTM.py,572800,0.14510841199989954,0.1.12_2
pytorch_cudnnLSTM,1x320-LSTM_cross-entropy,bench_pytorch_cudnnLSTM.py,572800,0.1453542170002038,0.1.12_2
pytorch_cudnnLSTM,1x320-LSTM_cross-entropy,bench_pytorch_cudnnLSTM.py,572800,0.14556814799993845,0.1.12_2
pytorch_cudnnLSTM,1x320-LSTM_cross-entropy,bench_pytorch_cudnnLSTM.py,572800,0.14694497400000728,0.1.12_2
pytorch_cudnnLSTM,1x320-LSTM_cross-entropy,bench_pytorch_cudnnLSTM.py,572800,0.1438420220001717,0.1.12_2
pytorch_cudnnLSTM,1x320-LSTM_cross-entropy,bench_pytorch_cudnnLSTM.py,572800,0.14640840400011254,0.1.12_2
pytorch_cudnnLSTM,1x320-LSTM_cross-entropy,bench_pytorch_cudnnLSTM.py,572800,0.14595230899999478,0.1.12_2
pytorch_cudnnLSTM,1x320-LSTM_cross-entropy,bench_pytorch_cudnnLSTM.py,572800,0.14547447300014935,0.1.12_2
pytorch_cudnnLSTM,1x320-LSTM_cross-entropy,bench_pytorch_cudnnLSTM.py,572800,0.14547087900018596,0.1.12_2
pytorch_cudnnLSTM,1x320-LSTM_cross-entropy,bench_pytorch_cudnnLSTM.py,572800,0.14669120500002464,0.1.12_2
pytorch_cudnnLSTM,1x320-LSTM_cross-entropy,bench_pytorch_cudnnLSTM.py,572800,0.1438035090000085,0.1.12_2
pytorch_cudnnLSTM,1x320-LSTM_cross-entropy,bench_pytorch_cudnnLSTM.py,572800,0.14668128299990713,0.1.12_2
pytorch_cudnnLSTM,1x320-LSTM_cross-entropy,bench_pytorch_cudnnLSTM.py,572800,0.14560530499989002,0.1.12_2
pytorch_cudnnLSTM,1x320-LSTM_cross-entropy,bench_pytorch_cudnnLSTM.py,572800,0.1457581479999135,0.1.12_2
pytorch_cudnnLSTM,1x320-LSTM_cross-entropy,bench_pytorch_cudnnLSTM.py,572800,0.14478822800015226,0.1.12_2
pytorch_cudnnLSTM,1x320-LSTM_cross-entropy,bench_pytorch_cudnnLSTM.py,572800,0.14604840899983176,0.1.12_2
pytorch_cudnnLSTM,1x320-LSTM_cross-entropy,bench_pytorch_cudnnLSTM.py,572800,0.14438242699998227,0.1.12_2
pytorch_cudnnLSTM,1x320-LSTM_cross-entropy,bench_pytorch_cudnnLSTM.py,572800,0.14515175399992586,0.1.12_2
pytorch_cudnnLSTM,1x320-LSTM_cross-entropy,bench_pytorch_cudnnLSTM.py,572800,0.14588847000004534,0.1.12_2
pytorch_cudnnLSTM,1x320-LSTM_cross-entropy,bench_pytorch_cudnnLSTM.py,572800,0.14506309399985184,0.1.12_2
pytorch_cudnnLSTM,1x320-LSTM_cross-entropy,bench_pytorch_cudnnLSTM.py,572800,0.14511413699983675,0.1.12_2
pytorch_cudnnLSTM,1x320-LSTM_cross-entropy,bench_pytorch_cudnnLSTM.py,572800,0.14623530099993332,0.1.12_2
pytorch_cudnnLSTM,1x320-LSTM_cross-entropy,bench_pytorch_cudnnLSTM.py,572800,0.14367584700016778,0.1.12_2
pytorch_cudnnLSTM,1x320-LSTM_cross-entropy,bench_pytorch_cudnnLSTM.py,572800,0.14594406000014715,0.1.12_2
pytorch_cudnnLSTM,1x320-LSTM_cross-entropy,bench_pytorch_cudnnLSTM.py,572800,0.1451638460000595,0.1.12_2
pytorch_cudnnLSTM,1x320-LSTM_cross-entropy,bench_pytorch_cudnnLSTM.py,572800,0.1453125909999926,0.1.12_2
pytorch_cudnnLSTM,1x320-LSTM_cross-entropy,bench_pytorch_cudnnLSTM.py,572800,0.1448527009999907,0.1.12_2
pytorch_cudnnLSTM,1x320-LSTM_cross-entropy,bench_pytorch_cudnnLSTM.py,572800,0.1469478799999706,0.1.12_2
pytorch_cudnnLSTM,1x320-LSTM_cross-entropy,bench_pytorch_cudnnLSTM.py,572800,0.14480636600001162,0.1.12_2
pytorch_cudnnLSTM,1x320-LSTM_cross-entropy,bench_pytorch_cudnnLSTM.py,572800,0.1451082349999524,0.1.12_2
pytorch_cudnnLSTM,1x320-LSTM_cross-entropy,bench_pytorch_cudnnLSTM.py,572800,0.14512250799998586,0.1.12_2
pytorch_cudnnLSTM,1x320-LSTM_cross-entropy,bench_pytorch_cudnnLSTM.py,572800,0.14568419500005805,0.1.12_2
pytorch_cudnnLSTM,1x320-LSTM_cross-entropy,bench_pytorch_cudnnLSTM.py,572800,0.1444269799999347,0.1.12_2
pytorch_cudnnLSTM,1x320-LSTM_cross-entropy,bench_pytorch_cudnnLSTM.py,572800,0.1466040850000354,0.1.12_2
pytorch_cudnnLSTM,1x320-LSTM_cross-entropy,bench_pytorch_cudnnLSTM.py,572800,0.14436366800009634,0.1.12_2
pytorch_cudnnLSTM,1x320-LSTM_cross-entropy,bench_pytorch_cudnnLSTM.py,572800,0.14581019000002016,0.1.12_2
pytorch_cudnnLSTM,1x320-LSTM_cross-entropy,bench_pytorch_cudnnLSTM.py,572800,0.14612770500002625,0.1.12_2
pytorch_cudnnLSTM,1x320-LSTM_cross-entropy,bench_pytorch_cudnnLSTM.py,572800,0.1443207730001177,0.1.12_2
pytorch_cudnnLSTM,1x320-LSTM_cross-entropy,bench_pytorch_cudnnLSTM.py,572800,0.14545314499991946,0.1.12_2
pytorch_cudnnLSTM,1x320-LSTM_cross-entropy,bench_pytorch_cudnnLSTM.py,572800,0.14639211300004715,0.1.12_2
pytorch_cudnnLSTM,1x320-LSTM_cross-entropy,bench_pytorch_cudnnLSTM.py,572800,0.14409006300002147,0.1.12_2
